country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,22/02/2021,0,0,0,0,0,0,0,0,0,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,23/02/2021,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,24/02/2021,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,25/02/2021,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,26/02/2021,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,27/02/2021,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,28/02/2021,8200,8200,0,0,1367,0.02,0.02,0,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,1/03/2021,0,0,0,0,1580,0,0,0,41,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,2/03/2021,0,0,0,0,1794,0,0,0,46,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,3/03/2021,0,0,0,0,2008,0,0,0,52,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,4/03/2021,0,0,0,0,2221,0,0,0,57,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,5/03/2021,0,0,0,0,2435,0,0,0,63,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,6/03/2021,0,0,0,0,2649,0,0,0,68,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,7/03/2021,0,0,0,0,2862,0,0,0,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,8/03/2021,0,0,0,0,2862,0,0,0,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
