country,Number_Days_Vaccinating,total_vaccinations,people_vaccinated,people_fully_vaccinated,Promedio_daily_vaccinations_raw,Promedio_daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Afghanistan,23,54000,54000,0,0,2152.565217,0.14,0.14,0,74,Oxford/AstraZeneca
Albania,67,33369,0,0,43.23880597,415.7313433,1.16,0,0,583,Pfizer/BioNTech
Algeria,22,75000,0,0,1.363636364,3139.545455,0.17,0,0,85,Sputnik V
Andorra,45,4914,3650,1264,0,74.6,6.36,4.72,1.64,3417,Pfizer/BioNTech
Angola,14,49000,49000,0,0,3069.357143,0.15,0.15,0,130,Oxford/AstraZeneca
Anguilla,38,5000,5000,0,37.39473684,137.5789474,33.33,33.33,0,4733,Oxford/AstraZeneca
Antigua and Barbuda,28,24164,0,0,0,863.0357143,24.68,0,0,9139,Oxford/AstraZeneca
Argentina,81,2939364,2382859,556505,30437.11111,32263.7284,6.5,5.27,1.23,2659,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Australia,33,240754,0,0,7295.575758,5798.424242,0.94,0,0,592,"Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,82,1189103,885968,303135,14492.57317,13470.32927,13.2,9.84,3.37,3848,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,57,453586,453586,0,738.4210526,7749.824561,4.47,4.47,0,941,Sinovac
Bahamas,1,110,110,0,0,0,0.03,0.03,0,0,Oxford/AstraZeneca
Bahrain,87,626751,396356,230395,2057.965517,6455.091954,36.83,23.29,13.54,8765,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Bangladesh,52,4687824,4687824,0,37292.03846,86327.80769,2.85,2.85,0,407,Oxford/AstraZeneca
Barbados,31,56018,56018,0,1662.193548,1778.580645,19.49,19.49,0,2860,Oxford/AstraZeneca
Belarus,75,30000,20000,10000,0,399.88,0.32,0.21,0.11,44,Sputnik V
Belgium,81,1323086,903656,419430,16330.67901,15277.7284,11.42,7.8,3.62,2224,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Belize,19,13150,13150,0,532.7368421,560.1578947,3.31,3.31,0,2953,Oxford/AstraZeneca
Bermuda,65,30481,18807,11674,0,456.4153846,48.95,30.2,18.75,8800,Pfizer/BioNTech
Bolivia,51,164984,148045,16939,2922.686275,2905.647059,1.41,1.27,0.15,341,Sputnik V
Brazil,63,13335728,9970231,3365497,196121.7619,195320.6825,6.27,4.69,1.58,1469,"Oxford/AstraZeneca, Sinovac"
Bulgaria,81,362721,293176,69545,4437.950617,4329.802469,5.22,4.22,1,536,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cambodia,35,170659,170659,0,3482.371429,4077.885714,1.02,1.02,0,792,Sinopharm/Beijing
Canada,96,3729312,3107711,621601,38846.94792,34413.125,9.88,8.23,1.65,3403,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cayman Islands,84,39145,26321,12824,40,439.1904762,59.56,40.05,19.51,15581,Pfizer/BioNTech
Chile,86,8418221,5567247,2850974,97881.40698,86591.2907,44.04,29.12,14.91,13948,"Pfizer/BioNTech, Sinovac"
China,90,64980000,0,0,0,681916.6333,4.51,0,0,618,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
