country,Number_Days_Vaccinating,Promedio_daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Afghanistan,23,2152.5652170000003,0.14,0.14,0.0,74,Oxford/AstraZeneca
Albania,67,415.7313433,1.16,0.0,0.0,583,Pfizer/BioNTech
Algeria,22,3139.545455,0.17,0.0,0.0,85,Sputnik V
Andorra,45,74.6,6.36,4.72,1.64,3417,Pfizer/BioNTech
Angola,14,3069.357143,0.15,0.15,0.0,130,Oxford/AstraZeneca
Anguilla,38,137.5789474,33.33,33.33,0.0,4733,Oxford/AstraZeneca
Antigua and Barbuda,28,863.0357142999999,24.68,0.0,0.0,9139,Oxford/AstraZeneca
Argentina,81,32263.7284,6.5,5.27,1.23,2659,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Australia,33,5798.424242,0.94,0.0,0.0,592,"Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,82,13470.329269999998,13.2,9.84,3.37,3848,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,57,7749.824561,4.47,4.47,0.0,941,Sinovac
Bahamas,1,0.0,0.03,0.03,0.0,0,Oxford/AstraZeneca
Bahrain,87,6455.0919539999995,36.83,23.29,13.54,8765,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Bangladesh,52,86327.80769,2.85,2.85,0.0,407,Oxford/AstraZeneca
Barbados,31,1778.580645,19.49,19.49,0.0,2860,Oxford/AstraZeneca
Belarus,75,399.88,0.32,0.21,0.11,44,Sputnik V
Belgium,81,15277.7284,11.42,7.8,3.62,2224,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Belize,19,560.1578947,3.31,3.31,0.0,2953,Oxford/AstraZeneca
Bermuda,65,456.4153846,48.95,30.2,18.75,8800,Pfizer/BioNTech
Bolivia,51,2905.647059,1.41,1.27,0.15,341,Sputnik V
Brazil,63,195320.6825,6.27,4.69,1.58,1469,"Oxford/AstraZeneca, Sinovac"
Bulgaria,81,4329.802469,5.22,4.22,1.0,536,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cambodia,35,4077.885714,1.02,1.02,0.0,792,Sinopharm/Beijing
Canada,96,34413.125,9.88,8.23,1.65,3403,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cayman Islands,84,439.19047620000003,59.56,40.05,19.51,15581,Pfizer/BioNTech
Chile,86,86591.2907,44.04,29.12,14.91,13948,"Pfizer/BioNTech, Sinovac"
China,90,681916.6333,4.51,0.0,0.0,618,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Colombia,31,29522.6129,2.12,2.01,0.11,1368,"Pfizer/BioNTech, Sinovac"
Costa Rica,82,2881.097561,4.87,3.73,1.14,1220,Pfizer/BioNTech
Cote dIvoire,18,963.2777777999999,0.08,0.08,0.0,56,Oxford/AstraZeneca
Croatia,80,4162.6375,8.89,6.84,1.86,2232,Pfizer/BioNTech
Cyprus,66,1782.4545449999998,16.93,13.28,3.65,8833,Pfizer/BioNTech
Czechia,83,14330.53012,12.22,8.91,3.31,3286,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,83,10672.867470000001,15.8,10.72,5.08,2240,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Dominica,29,443.24137930000006,18.84,18.84,0.0,8834,Oxford/AstraZeneca
Dominican Republic,29,20975.24138,6.22,6.22,0.0,3621,"Oxford/AstraZeneca, Sinovac"
Ecuador,54,2136.555556,0.8,0.69,0.11,540,Pfizer/BioNTech
Egypt,7,187.71428569999998,0.0,0.0,0.0,2,Sinopharm/Beijing
El Salvador,30,1130.766667,0.64,0.64,0.0,399,Oxford/AstraZeneca
